CustomerID,Cluster
C0001,2
C0001,2
C0001,0
C0001,3
C0001,1
C0002,0
C0002,2
C0002,3
C0002,2
C0003,3
C0003,2
C0003,2
C0003,1
C0004,2
C0004,3
C0004,2
C0004,0
C0004,3
C0004,0
C0004,2
C0004,3
C0005,3
C0005,3
C0005,2
C0006,2
C0006,3
C0006,1
C0006,1
C0007,0
C0007,3
C0007,3
C0008,0
C0008,2
C0008,2
C0008,0
C0008,2
C0008,1
C0008,2
C0008,2
C0008,3
C0008,2
C0009,2
C0009,0
C0009,0
C0010,2
C0010,3
C0010,2
C0010,2
C0011,0
C0011,3
C0011,3
C0011,2
C0011,1
C0012,3
C0012,1
C0012,1
C0012,2
C0012,2
C0012,0
C0012,2
C0013,3
C0013,3
C0013,1
C0013,2
C0013,0
C0013,1
C0013,2
C0014,2
C0015,0
C0015,3
C0016,0
C0016,0
C0016,1
C0016,0
C0016,3
C0017,3
C0017,2
C0017,0
C0017,0
C0017,0
C0017,1
C0017,2
C0017,2
C0018,2
C0018,2
C0018,3
C0018,3
C0018,1
C0019,2
C0019,3
C0019,2
C0019,0
C0019,0
C0019,2
C0020,3
C0021,0
C0021,1
C0021,0
C0021,3
C0021,0
C0021,1
C0021,2
C0021,2
C0022,2
C0022,2
C0022,3
C0022,1
C0022,2
C0022,3
C0023,1
C0023,3
C0023,0
C0023,0
C0023,1
C0023,2
C0024,0
C0024,3
C0024,0
C0024,2
C0024,0
C0024,2
C0024,0
C0025,2
C0025,2
C0025,3
C0025,2
C0026,3
C0026,0
C0026,3
C0026,3
C0027,2
C0027,2
C0027,3
C0027,3
C0028,3
C0028,0
C0028,3
C0028,1
C0028,3
C0028,3
C0028,0
C0028,3
C0029,3
C0029,0
C0029,2
C0029,2
C0030,2
C0030,2
C0030,2
C0030,0
C0030,1
C0031,0
C0031,2
C0031,3
C0031,0
C0032,2
C0032,0
C0032,2
C0033,2
C0034,0
C0034,3
C0034,3
C0034,2
C0034,2
C0034,2
C0035,3
C0035,1
C0035,2
C0035,2
C0036,3
C0036,2
C0036,3
C0037,1
C0037,3
C0037,0
C0037,3
C0037,2
C0038,2
C0038,2
C0038,2
C0038,1
C0038,3
C0039,2
C0039,2
C0039,3
C0039,3
C0039,3
C0039,3
C0040,3
C0040,1
C0040,1
C0041,3
C0041,2
C0041,1
C0041,3
C0041,3
C0041,2
C0041,3
C0042,1
C0042,0
C0042,0
C0043,3
C0043,2
C0043,2
C0044,0
C0044,1
C0044,1
C0045,2
C0045,1
C0045,3
C0045,3
C0045,2
C0045,2
C0045,1
C0046,2
C0046,2
C0046,0
C0046,3
C0046,1
C0046,3
C0046,1
C0047,2
C0047,0
C0047,2
C0047,3
C0047,0
C0047,2
C0047,0
C0048,3
C0048,2
C0048,0
C0048,3
C0048,1
C0049,2
C0049,2
C0049,3
C0049,2
C0049,0
C0049,2
C0049,2
C0049,2
C0050,3
C0050,3
C0050,1
C0051,3
C0051,0
C0051,1
C0051,2
C0051,1
C0051,2
C0051,0
C0052,2
C0052,2
C0052,1
C0052,0
C0053,3
C0053,3
C0053,1
C0053,2
C0053,2
C0053,1
C0054,3
C0054,2
C0054,1
C0054,1
C0054,3
C0054,3
C0054,1
C0054,3
C0055,0
C0055,3
C0055,3
C0055,2
C0055,2
C0056,0
C0056,2
C0056,3
C0056,3
C0056,3
C0057,1
C0057,2
C0057,0
C0057,2
C0057,1
C0057,2
C0058,0
C0059,1
C0059,0
C0059,0
C0059,1
C0059,3
C0059,0
C0059,3
C0059,1
C0060,2
C0061,1
C0061,2
C0061,3
C0062,2
C0062,3
C0062,0
C0063,2
C0063,3
C0064,2
C0064,0
C0064,3
C0064,3
C0064,1
C0065,2
C0065,0
C0065,2
C0065,2
C0065,2
C0065,1
C0065,1
C0065,2
C0065,1
C0065,0
C0066,1
C0066,1
C0066,0
C0067,2
C0067,0
C0067,2
C0067,1
C0067,1
C0067,3
C0068,2
C0068,2
C0068,1
C0068,1
C0068,3
C0068,0
C0068,2
C0068,3
C0069,3
C0069,3
C0069,2
C0069,3
C0069,2
C0070,3
C0070,2
C0070,3
C0070,0
C0071,3
C0071,2
C0071,2
C0072,2
C0072,2
